fibonacci,2,3,5, 0,np.pi/2,0,[]
lissajous,1,3,7, 0,0,np.pi/2,[]
lissajous,1,4,7, 0,0,np.pi/2,[]
lissajous,1,7,8, 0,np.pi/2,0,[]
lissajous,1,7,9, 0,np.pi/2,0,[]
lissajous,2,3,5, 0,0,np.pi/2,[]
lissajous,2,3,7, 0,0,np.pi/5,[]
lissajous,2,7,9, 0,np.pi/5,0,[]
lissajous,3,4,5, 0,0,np.pi/2,[]
lissajous,3,4,7, 0,0,np.pi/5,[]
lissajous,3,5,7, 0,0,np.pi/2,[]
lissajous,3,5,8, 0,np.pi/2,0,[]
lissajous,3,7,8, 0,np.pi/5,0,[]
lissajous,4,5,7, 0,0,np.pi/3,[]
lissajous,5,7,8, 0,np.pi/3,0,[]
lissajous,5,7,9, 0,np.pi/2,0,[]
